id,value
HUAWEI,
HUAWEI.battery,
HUAWEI.battery.excellent,1
HUAWEI.screen,
HUAWEI.screen.awesome,1
HUAWEI.quality,
HUAWEI.quality.fantastic,1
HUAWEI.quality.great,1
HUAWEI.quality.amazing,1
