id,value
DOOGEE,
DOOGEE.screen,
DOOGEE.battery,
DOOGEE.price,
DOOGEE.camera,
DOOGEE.quality,
DOOGEE.software,
DOOGEE.wifi,
DOOGEE.memory,
DOOGEE.video,
DOOGEE.power,
DOOGEE.size,
DOOGEE.battery.good,1
DOOGEE.screen.nice,1
