id,value
Apple,
Apple.battery,
Apple.battery.good,1
Apple.screen,
Apple.screen.good,1
Apple.size,
Apple.size.nice,1
Apple.software,
Apple.software.horrible,1
Apple.quality,
Apple.quality.great,1
Apple.quality.excellent,1
Apple.price,
Apple.price.great,1
Apple.price.good,1
Apple.price.excellent,1
