id,value
Samsung,
Samsung.camera,
Samsung.camera.front,1
Samsung.camera.great,1
Samsung.camera.amazing,1
Samsung.battery,
Samsung.battery.camera the,1
Samsung.battery.life,1
Samsung.battery.great,1
Samsung.battery.power,1
Samsung.screen,
Samsung.screen.large,1
Samsung.screen.sharp,1
Samsung.screen.big,1
Samsung.size,
Samsung.size.perfect,1
Samsung.size.phone,1
Samsung.size.comfortable,1
Samsung.price,
Samsung.price.great,1
Samsung.power,
Samsung.power.user,1
