id,value
Sony,
Sony.camera,
Sony.camera.great,1
Sony.camera.good,1
Sony.camera.nice,1
Sony.battery,
Sony.battery.great,1
Sony.battery.amazing,1
Sony.screen,
Sony.screen.great,1
Sony.quality,
Sony.quality.great,1
Sony.price,
Sony.price.great,1
